Month,polution
2004-01,89
2004-02,73
2004-03,94
2004-04,93
2004-05,100
2004-06,58
2004-07,32
2004-08,40
2004-09,61
2004-10,74
2004-11,83
2004-12,80
2005-01,67
2005-02,81
2005-03,84
2005-04,83
2005-05,79
2005-06,51
2005-07,32
2005-08,31
2005-09,54
2005-10,69
2005-11,72
2005-12,65
2006-01,65
2006-02,66
2006-03,72
2006-04,64
2006-05,68
2006-06,43
2006-07,32
2006-08,27
2006-09,46
2006-10,53
2006-11,65
2006-12,46
2007-01,58
2007-02,56
2007-03,57
2007-04,49
2007-05,55
2007-06,37
2007-07,25
2007-08,29
2007-09,40
2007-10,52
2007-11,57
2007-12,47
2008-01,51
2008-02,48
2008-03,49
2008-04,52
2008-05,48
2008-06,33
2008-07,30
2008-08,31
2008-09,35
2008-10,40
2008-11,45
2008-12,35
2009-01,36
2009-02,38
2009-03,38
2009-04,37
2009-05,35
2009-06,24
2009-07,17
2009-08,17
2009-09,22
2009-10,27
2009-11,28
2009-12,23
2010-01,26
2010-02,25
2010-03,27
2010-04,29
2010-05,28
2010-06,19
2010-07,15
2010-08,16
2010-09,18
2010-10,23
2010-11,22
2010-12,18
2011-01,21
2011-02,22
2011-03,23
2011-04,22
2011-05,20
2011-06,16
2011-07,13
2011-08,13
2011-09,16
2011-10,17
2011-11,21
2011-12,16
2012-01,18
2012-02,20
2012-03,19
2012-04,17
2012-05,17
2012-06,12
2012-07,11
2012-08,11
2012-09,13
2012-10,14
2012-11,14
2012-12,12
2013-01,16
2013-02,16
2013-03,17
2013-04,16
2013-05,15
2013-06,13
2013-07,10
2013-08,11
2013-09,13
2013-10,16
2013-11,16
2013-12,15
2014-01,15
2014-02,16
2014-03,25
2014-04,17
2014-05,16
2014-06,12
2014-07,11
2014-08,13
2014-09,15
2014-10,16
2014-11,16
2014-12,15
2015-01,15
2015-02,15
2015-03,19
2015-04,17
2015-05,15
2015-06,13
2015-07,12
2015-08,14
2015-09,18
2015-10,20
2015-11,18
2015-12,20
2016-01,19
2016-02,19
2016-03,17
2016-04,17
2016-05,17
2016-06,13
2016-07,11
2016-08,14
2016-09,16
2016-10,16
2016-11,22
2016-12,25
2017-01,27
2017-02,21
2017-03,19
2017-04,16
2017-05,17
2017-06,15
2017-07,13
2017-08,13
2017-09,15
2017-10,17
2017-11,23
2017-12,16
2018-01,17
2018-02,17
2018-03,16
2018-04,17
2018-05,17
2018-06,13
2018-07,12
2018-08,15
2018-09,14
2018-10,16
2018-11,18
2018-12,14
2019-01,15
2019-02,17
2019-03,16
2019-04,17
2019-05,17
2019-06,15
2019-07,12
2019-08,12
2019-09,21
2019-10,16
